policy_area,issue_number,salience,dateIssued,year_week
Technology,1700,50.0,2016-03-27,2016_12
International Affairs,1900,50.0,2016-03-27,2016_12
Government Operations,2000,50.0,2016-03-27,2016_12
Public Lands,2100,50.0,2016-03-27,2016_12
Macroeconomics,100,50.0,2016-04-03,2016_13
Civil Rights,200,50.0,2016-04-03,2016_13
Health,300,50.0,2016-04-03,2016_13
Agriculture,400,50.0,2016-04-03,2016_13
Labor,500,50.0,2016-04-03,2016_13
Education,600,50.0,2016-04-03,2016_13
Environment,700,50.0,2016-04-03,2016_13
Energy,800,50.0,2016-04-03,2016_13
Transportation,1000,50.0,2016-04-03,2016_13
Law and Crime,1200,50.0,2016-04-03,2016_13
Social Welfare,1300,50.0,2016-04-03,2016_13
Housing,1400,50.0,2016-04-03,2016_13
Domestic Commerce,1500,50.0,2016-04-03,2016_13
Defense,1600,50.0,2016-04-03,2016_13
Technology,1700,50.0,2016-04-03,2016_13
International Affairs,1900,50.0,2016-04-03,2016_13
Government Operations,2000,50.0,2016-04-03,2016_13
Public Lands,2100,50.0,2016-04-03,2016_13
Macroeconomics,100,50.0,2016-04-10,2016_14
Civil Rights,200,50.0,2016-04-10,2016_14
Health,300,50.0,2016-04-10,2016_14
Agriculture,400,50.0,2016-04-10,2016_14
Labor,500,50.0,2016-04-10,2016_14
Education,600,50.0,2016-04-10,2016_14
Environment,700,50.0,2016-04-10,2016_14
Energy,800,50.0,2016-04-10,2016_14
Transportation,1000,50.0,2016-04-10,2016_14
Law and Crime,1200,50.0,2016-04-10,2016_14
Social Welfare,1300,50.0,2016-04-10,2016_14
Housing,1400,50.0,2016-04-10,2016_14
Domestic Commerce,1500,50.0,2016-04-10,2016_14
Defense,1600,50.0,2016-04-10,2016_14
Technology,1700,50.0,2016-04-10,2016_14
International Affairs,1900,50.0,2016-04-10,2016_14
Government Operations,2000,50.0,2016-04-10,2016_14
Public Lands,2100,50.0,2016-04-10,2016_14
Macroeconomics,100,50.0,2016-04-17,2016_15
Civil Rights,200,50.0,2016-04-17,2016_15
Health,300,50.0,2016-04-17,2016_15
Agriculture,400,50.0,2016-04-17,2016_15
Labor,500,50.0,2016-04-17,2016_15
Education,600,50.0,2016-04-17,2016_15
Environment,700,50.0,2016-04-17,2016_15
Energy,800,50.0,2016-04-17,2016_15
Transportation,1000,50.0,2016-04-17,2016_15
Law and Crime,1200,50.0,2016-04-17,2016_15
Social Welfare,1300,50.0,2016-04-17,2016_15
Housing,1400,50.0,2016-04-17,2016_15
Domestic Commerce,1500,50.0,2016-04-17,2016_15
Defense,1600,50.0,2016-04-17,2016_15
Technology,1700,50.0,2016-04-17,2016_15
International Affairs,1900,50.0,2016-04-17,2016_15
Government Operations,2000,50.0,2016-04-17,2016_15
Public Lands,2100,50.0,2016-04-17,2016_15
Macroeconomics,100,50.0,2016-04-24,2016_16
Civil Rights,200,50.0,2016-04-24,2016_16
Health,300,50.0,2016-04-24,2016_16
Agriculture,400,50.0,2016-04-24,2016_16
Labor,500,50.0,2016-04-24,2016_16
Education,600,50.0,2016-04-24,2016_16
Environment,700,50.0,2016-04-24,2016_16
Energy,800,50.0,2016-04-24,2016_16
Transportation,1000,50.0,2016-04-24,2016_16
Law and Crime,1200,50.0,2016-04-24,2016_16
Social Welfare,1300,50.0,2016-04-24,2016_16
Housing,1400,50.0,2016-04-24,2016_16
Domestic Commerce,1500,50.0,2016-04-24,2016_16
Defense,1600,50.0,2016-04-24,2016_16
Technology,1700,50.0,2016-04-24,2016_16
International Affairs,1900,50.0,2016-04-24,2016_16
Government Operations,2000,50.0,2016-04-24,2016_16
Public Lands,2100,50.0,2016-04-24,2016_16
Macroeconomics,100,50.0,2016-05-01,2016_17
Civil Rights,200,50.0,2016-05-01,2016_17
Health,300,50.0,2016-05-01,2016_17
Agriculture,400,50.0,2016-05-01,2016_17
Labor,500,50.0,2016-05-01,2016_17
Education,600,50.0,2016-05-01,2016_17
Environment,700,50.0,2016-05-01,2016_17
Energy,800,50.0,2016-05-01,2016_17
Transportation,1000,50.0,2016-05-01,2016_17
Law and Crime,1200,50.0,2016-05-01,2016_17
Social Welfare,1300,50.0,2016-05-01,2016_17
Housing,1400,50.0,2016-05-01,2016_17
Domestic Commerce,1500,50.0,2016-05-01,2016_17
Defense,1600,50.0,2016-05-01,2016_17
Technology,1700,50.0,2016-05-01,2016_17
International Affairs,1900,50.0,2016-05-01,2016_17
Government Operations,2000,50.0,2016-05-01,2016_17
Public Lands,2100,50.0,2016-05-01,2016_17
Macroeconomics,100,50.0,2016-05-08,2016_18
Civil Rights,200,50.0,2016-05-08,2016_18
Health,300,50.0,2016-05-08,2016_18
Agriculture,400,50.0,2016-05-08,2016_18
Labor,500,50.0,2016-05-08,2016_18
Education,600,50.0,2016-05-08,2016_18
Environment,700,50.0,2016-05-08,2016_18
Energy,800,50.0,2016-05-08,2016_18
Transportation,1000,50.0,2016-05-08,2016_18
Law and Crime,1200,50.0,2016-05-08,2016_18
Social Welfare,1300,50.0,2016-05-08,2016_18
Housing,1400,50.0,2016-05-08,2016_18
Domestic Commerce,1500,50.0,2016-05-08,2016_18
Defense,1600,50.0,2016-05-08,2016_18
Technology,1700,50.0,2016-05-08,2016_18
International Affairs,1900,50.0,2016-05-08,2016_18
Government Operations,2000,50.0,2016-05-08,2016_18
Public Lands,2100,50.0,2016-05-08,2016_18
Macroeconomics,100,50.0,2016-05-15,2016_19
Civil Rights,200,50.0,2016-05-15,2016_19
Health,300,50.0,2016-05-15,2016_19
Agriculture,400,50.0,2016-05-15,2016_19
Labor,500,50.0,2016-05-15,2016_19
Education,600,50.0,2016-05-15,2016_19
Environment,700,50.0,2016-05-15,2016_19
Energy,800,50.0,2016-05-15,2016_19
Transportation,1000,50.0,2016-05-15,2016_19
Law and Crime,1200,50.0,2016-05-15,2016_19
Social Welfare,1300,50.0,2016-05-15,2016_19
Housing,1400,50.0,2016-05-15,2016_19
Domestic Commerce,1500,50.0,2016-05-15,2016_19
Defense,1600,50.0,2016-05-15,2016_19
Technology,1700,50.0,2016-05-15,2016_19
International Affairs,1900,50.0,2016-05-15,2016_19
Government Operations,2000,50.0,2016-05-15,2016_19
Public Lands,2100,50.0,2016-05-15,2016_19
Macroeconomics,100,50.0,2016-05-22,2016_20
Civil Rights,200,50.0,2016-05-22,2016_20
Health,300,50.0,2016-05-22,2016_20
Agriculture,400,50.0,2016-05-22,2016_20
Labor,500,50.0,2016-05-22,2016_20
Education,600,50.0,2016-05-22,2016_20
Environment,700,50.0,2016-05-22,2016_20
Energy,800,50.0,2016-05-22,2016_20
Transportation,1000,50.0,2016-05-22,2016_20
Law and Crime,1200,50.0,2016-05-22,2016_20
Social Welfare,1300,50.0,2016-05-22,2016_20
Housing,1400,50.0,2016-05-22,2016_20
Domestic Commerce,1500,50.0,2016-05-22,2016_20
Defense,1600,50.0,2016-05-22,2016_20
Technology,1700,50.0,2016-05-22,2016_20
International Affairs,1900,50.0,2016-05-22,2016_20
Government Operations,2000,50.0,2016-05-22,2016_20
Public Lands,2100,50.0,2016-05-22,2016_20
Macroeconomics,100,50.0,2016-05-29,2016_21
Civil Rights,200,50.0,2016-05-29,2016_21
Health,300,50.0,2016-05-29,2016_21
Agriculture,400,50.0,2016-05-29,2016_21
Labor,500,50.0,2016-05-29,2016_21
Education,600,50.0,2016-05-29,2016_21
Environment,700,50.0,2016-05-29,2016_21
Energy,800,50.0,2016-05-29,2016_21
Transportation,1000,50.0,2016-05-29,2016_21
Law and Crime,1200,50.0,2016-05-29,2016_21
Social Welfare,1300,50.0,2016-05-29,2016_21
Housing,1400,50.0,2016-05-29,2016_21
Domestic Commerce,1500,50.0,2016-05-29,2016_21
Defense,1600,50.0,2016-05-29,2016_21
Technology,1700,50.0,2016-05-29,2016_21
International Affairs,1900,50.0,2016-05-29,2016_21
Government Operations,2000,50.0,2016-05-29,2016_21
Public Lands,2100,50.0,2016-05-29,2016_21
Macroeconomics,100,50.0,2016-06-05,2016_22
Civil Rights,200,50.0,2016-06-05,2016_22
Health,300,50.0,2016-06-05,2016_22
Agriculture,400,50.0,2016-06-05,2016_22
Labor,500,50.0,2016-06-05,2016_22
Education,600,50.0,2016-06-05,2016_22
Environment,700,50.0,2016-06-05,2016_22
Energy,800,50.0,2016-06-05,2016_22
Transportation,1000,50.0,2016-06-05,2016_22
Law and Crime,1200,50.0,2016-06-05,2016_22
Social Welfare,1300,50.0,2016-06-05,2016_22
Housing,1400,50.0,2016-06-05,2016_22
Domestic Commerce,1500,50.0,2016-06-05,2016_22
Defense,1600,50.0,2016-06-05,2016_22
Technology,1700,50.0,2016-06-05,2016_22
International Affairs,1900,50.0,2016-06-05,2016_22
Government Operations,2000,50.0,2016-06-05,2016_22
Public Lands,2100,50.0,2016-06-05,2016_22
Macroeconomics,100,50.0,2016-06-12,2016_23
Civil Rights,200,50.0,2016-06-12,2016_23
Health,300,50.0,2016-06-12,2016_23
Agriculture,400,50.0,2016-06-12,2016_23
Labor,500,50.0,2016-06-12,2016_23
Education,600,50.0,2016-06-12,2016_23
Environment,700,50.0,2016-06-12,2016_23
Energy,800,50.0,2016-06-12,2016_23
Transportation,1000,50.0,2016-06-12,2016_23
Law and Crime,1200,50.0,2016-06-12,2016_23
Social Welfare,1300,50.0,2016-06-12,2016_23
Housing,1400,50.0,2016-06-12,2016_23
Domestic Commerce,1500,50.0,2016-06-12,2016_23
Defense,1600,50.0,2016-06-12,2016_23
Technology,1700,50.0,2016-06-12,2016_23
International Affairs,1900,50.0,2016-06-12,2016_23
Government Operations,2000,50.0,2016-06-12,2016_23
Public Lands,2100,50.0,2016-06-12,2016_23
Macroeconomics,100,50.0,2016-06-19,2016_24
Civil Rights,200,50.0,2016-06-19,2016_24
Health,300,50.0,2016-06-19,2016_24
Agriculture,400,50.0,2016-06-19,2016_24
Labor,500,50.0,2016-06-19,2016_24
Education,600,50.0,2016-06-19,2016_24
Environment,700,50.0,2016-06-19,2016_24
Energy,800,50.0,2016-06-19,2016_24
Transportation,1000,50.0,2016-06-19,2016_24
Law and Crime,1200,50.0,2016-06-19,2016_24
Social Welfare,1300,50.0,2016-06-19,2016_24
Housing,1400,50.0,2016-06-19,2016_24
Domestic Commerce,1500,50.0,2016-06-19,2016_24
Defense,1600,50.0,2016-06-19,2016_24
Technology,1700,50.0,2016-06-19,2016_24
International Affairs,1900,50.0,2016-06-19,2016_24
Government Operations,2000,50.0,2016-06-19,2016_24
Public Lands,2100,50.0,2016-06-19,2016_24
Macroeconomics,100,50.0,2016-06-26,2016_25
Civil Rights,200,50.0,2016-06-26,2016_25
Health,300,50.0,2016-06-26,2016_25
Agriculture,400,50.0,2016-06-26,2016_25
Labor,500,50.0,2016-06-26,2016_25
Education,600,50.0,2016-06-26,2016_25
Environment,700,50.0,2016-06-26,2016_25
Energy,800,50.0,2016-06-26,2016_25
Transportation,1000,50.0,2016-06-26,2016_25
Law and Crime,1200,50.0,2016-06-26,2016_25
Social Welfare,1300,50.0,2016-06-26,2016_25
Housing,1400,50.0,2016-06-26,2016_25
Domestic Commerce,1500,50.0,2016-06-26,2016_25
Defense,1600,50.0,2016-06-26,2016_25
Technology,1700,50.0,2016-06-26,2016_25
International Affairs,1900,50.0,2016-06-26,2016_25
Government Operations,2000,50.0,2016-06-26,2016_25
Public Lands,2100,50.0,2016-06-26,2016_25
Macroeconomics,100,50.0,2016-07-03,2016_26
Civil Rights,200,50.0,2016-07-03,2016_26
Health,300,50.0,2016-07-03,2016_26
Agriculture,400,50.0,2016-07-03,2016_26
Labor,500,50.0,2016-07-03,2016_26
Education,600,50.0,2016-07-03,2016_26
Environment,700,50.0,2016-07-03,2016_26
Energy,800,50.0,2016-07-03,2016_26
Transportation,1000,50.0,2016-07-03,2016_26
Law and Crime,1200,50.0,2016-07-03,2016_26
Social Welfare,1300,50.0,2016-07-03,2016_26
Housing,1400,50.0,2016-07-03,2016_26
Domestic Commerce,1500,50.0,2016-07-03,2016_26
Defense,1600,50.0,2016-07-03,2016_26
Technology,1700,50.0,2016-07-03,2016_26
International Affairs,1900,50.0,2016-07-03,2016_26
Government Operations,2000,50.0,2016-07-03,2016_26
Public Lands,2100,50.0,2016-07-03,2016_26
Macroeconomics,100,50.0,2016-07-10,2016_27
Civil Rights,200,50.0,2016-07-10,2016_27
Health,300,50.0,2016-07-10,2016_27
Agriculture,400,50.0,2016-07-10,2016_27
Labor,500,50.0,2016-07-10,2016_27
Education,600,50.0,2016-07-10,2016_27
Environment,700,50.0,2016-07-10,2016_27
Energy,800,50.0,2016-07-10,2016_27
Transportation,1000,50.0,2016-07-10,2016_27
Law and Crime,1200,50.0,2016-07-10,2016_27
Social Welfare,1300,50.0,2016-07-10,2016_27
Housing,1400,50.0,2016-07-10,2016_27
Domestic Commerce,1500,50.0,2016-07-10,2016_27
Defense,1600,50.0,2016-07-10,2016_27
Technology,1700,50.0,2016-07-10,2016_27
International Affairs,1900,50.0,2016-07-10,2016_27
Government Operations,2000,50.0,2016-07-10,2016_27
Public Lands,2100,50.0,2016-07-10,2016_27
Macroeconomics,100,50.0,2016-07-17,2016_28
Civil Rights,200,50.0,2016-07-17,2016_28
Health,300,50.0,2016-07-17,2016_28
Agriculture,400,50.0,2016-07-17,2016_28
Labor,500,50.0,2016-07-17,2016_28
Education,600,50.0,2016-07-17,2016_28
Environment,700,50.0,2016-07-17,2016_28
Energy,800,50.0,2016-07-17,2016_28
Transportation,1000,50.0,2016-07-17,2016_28
Law and Crime,1200,50.0,2016-07-17,2016_28
Social Welfare,1300,50.0,2016-07-17,2016_28
Housing,1400,50.0,2016-07-17,2016_28
Domestic Commerce,1500,50.0,2016-07-17,2016_28
Defense,1600,50.0,2016-07-17,2016_28
Technology,1700,50.0,2016-07-17,2016_28
International Affairs,1900,50.0,2016-07-17,2016_28
Government Operations,2000,50.0,2016-07-17,2016_28
Public Lands,2100,50.0,2016-07-17,2016_28
Macroeconomics,100,50.0,2016-07-24,2016_29
Civil Rights,200,50.0,2016-07-24,2016_29
Health,300,50.0,2016-07-24,2016_29
Agriculture,400,50.0,2016-07-24,2016_29
Labor,500,50.0,2016-07-24,2016_29
Education,600,50.0,2016-07-24,2016_29
Environment,700,50.0,2016-07-24,2016_29
Energy,800,50.0,2016-07-24,2016_29
Transportation,1000,50.0,2016-07-24,2016_29
Law and Crime,1200,50.0,2016-07-24,2016_29
Social Welfare,1300,50.0,2016-07-24,2016_29
Housing,1400,50.0,2016-07-24,2016_29
Domestic Commerce,1500,50.0,2016-07-24,2016_29
Defense,1600,50.0,2016-07-24,2016_29
Technology,1700,50.0,2016-07-24,2016_29
International Affairs,1900,50.0,2016-07-24,2016_29
Government Operations,2000,50.0,2016-07-24,2016_29
Public Lands,2100,50.0,2016-07-24,2016_29
Macroeconomics,100,50.0,2016-07-31,2016_30
Civil Rights,200,50.0,2016-07-31,2016_30
Health,300,50.0,2016-07-31,2016_30
Agriculture,400,50.0,2016-07-31,2016_30
Labor,500,50.0,2016-07-31,2016_30
Education,600,50.0,2016-07-31,2016_30
Environment,700,50.0,2016-07-31,2016_30
Energy,800,50.0,2016-07-31,2016_30
Transportation,1000,50.0,2016-07-31,2016_30
Law and Crime,1200,50.0,2016-07-31,2016_30
Social Welfare,1300,50.0,2016-07-31,2016_30
Housing,1400,50.0,2016-07-31,2016_30
Domestic Commerce,1500,50.0,2016-07-31,2016_30
Defense,1600,50.0,2016-07-31,2016_30
Technology,1700,50.0,2016-07-31,2016_30
International Affairs,1900,50.0,2016-07-31,2016_30
Government Operations,2000,50.0,2016-07-31,2016_30
Public Lands,2100,50.0,2016-07-31,2016_30
Macroeconomics,100,50.0,2016-08-07,2016_31
Civil Rights,200,50.0,2016-08-07,2016_31
Health,300,50.0,2016-08-07,2016_31
Agriculture,400,50.0,2016-08-07,2016_31
Labor,500,50.0,2016-08-07,2016_31
Education,600,50.0,2016-08-07,2016_31
Environment,700,50.0,2016-08-07,2016_31
Energy,800,50.0,2016-08-07,2016_31
Transportation,1000,50.0,2016-08-07,2016_31
Law and Crime,1200,50.0,2016-08-07,2016_31
Social Welfare,1300,50.0,2016-08-07,2016_31
Housing,1400,50.0,2016-08-07,2016_31
Domestic Commerce,1500,50.0,2016-08-07,2016_31
Defense,1600,50.0,2016-08-07,2016_31
Technology,1700,50.0,2016-08-07,2016_31
International Affairs,1900,50.0,2016-08-07,2016_31
Government Operations,2000,50.0,2016-08-07,2016_31
Public Lands,2100,50.0,2016-08-07,2016_31
Macroeconomics,100,50.0,2016-08-14,2016_32
Civil Rights,200,50.0,2016-08-14,2016_32
Health,300,50.0,2016-08-14,2016_32
Agriculture,400,50.0,2016-08-14,2016_32
Labor,500,50.0,2016-08-14,2016_32
Education,600,50.0,2016-08-14,2016_32
Environment,700,50.0,2016-08-14,2016_32
Energy,800,50.0,2016-08-14,2016_32
Transportation,1000,50.0,2016-08-14,2016_32
Law and Crime,1200,50.0,2016-08-14,2016_32
Social Welfare,1300,50.0,2016-08-14,2016_32
Housing,1400,50.0,2016-08-14,2016_32
Domestic Commerce,1500,50.0,2016-08-14,2016_32
Defense,1600,50.0,2016-08-14,2016_32
Technology,1700,50.0,2016-08-14,2016_32
International Affairs,1900,50.0,2016-08-14,2016_32
Government Operations,2000,50.0,2016-08-14,2016_32
Public Lands,2100,50.0,2016-08-14,2016_32
Macroeconomics,100,50.0,2016-08-21,2016_33
Civil Rights,200,50.0,2016-08-21,2016_33
Health,300,50.0,2016-08-21,2016_33
Agriculture,400,50.0,2016-08-21,2016_33
Labor,500,50.0,2016-08-21,2016_33
Education,600,50.0,2016-08-21,2016_33
Environment,700,50.0,2016-08-21,2016_33
Energy,800,50.0,2016-08-21,2016_33
Transportation,1000,50.0,2016-08-21,2016_33
Law and Crime,1200,50.0,2016-08-21,2016_33
Social Welfare,1300,50.0,2016-08-21,2016_33
Housing,1400,50.0,2016-08-21,2016_33
Domestic Commerce,1500,50.0,2016-08-21,2016_33
Defense,1600,50.0,2016-08-21,2016_33
Technology,1700,50.0,2016-08-21,2016_33
International Affairs,1900,50.0,2016-08-21,2016_33
Government Operations,2000,50.0,2016-08-21,2016_33
Public Lands,2100,50.0,2016-08-21,2016_33
Macroeconomics,100,50.0,2016-08-28,2016_34
Civil Rights,200,50.0,2016-08-28,2016_34
Health,300,50.0,2016-08-28,2016_34
Agriculture,400,50.0,2016-08-28,2016_34
Labor,500,50.0,2016-08-28,2016_34
Education,600,50.0,2016-08-28,2016_34
Environment,700,50.0,2016-08-28,2016_34
Energy,800,50.0,2016-08-28,2016_34
Transportation,1000,50.0,2016-08-28,2016_34
Law and Crime,1200,50.0,2016-08-28,2016_34
Social Welfare,1300,50.0,2016-08-28,2016_34
Housing,1400,50.0,2016-08-28,2016_34
Domestic Commerce,1500,50.0,2016-08-28,2016_34
Defense,1600,50.0,2016-08-28,2016_34
Technology,1700,50.0,2016-08-28,2016_34
International Affairs,1900,50.0,2016-08-28,2016_34
Government Operations,2000,50.0,2016-08-28,2016_34
Public Lands,2100,50.0,2016-08-28,2016_34
Macroeconomics,100,50.0,2016-09-04,2016_35
Civil Rights,200,50.0,2016-09-04,2016_35
Health,300,50.0,2016-09-04,2016_35
Agriculture,400,50.0,2016-09-04,2016_35
Labor,500,50.0,2016-09-04,2016_35
Education,600,50.0,2016-09-04,2016_35
Environment,700,50.0,2016-09-04,2016_35
Energy,800,50.0,2016-09-04,2016_35
Transportation,1000,50.0,2016-09-04,2016_35
Law and Crime,1200,50.0,2016-09-04,2016_35
Social Welfare,1300,50.0,2016-09-04,2016_35
Housing,1400,50.0,2016-09-04,2016_35
Domestic Commerce,1500,50.0,2016-09-04,2016_35
Defense,1600,50.0,2016-09-04,2016_35
Technology,1700,50.0,2016-09-04,2016_35
International Affairs,1900,50.0,2016-09-04,2016_35
Government Operations,2000,50.0,2016-09-04,2016_35
Public Lands,2100,50.0,2016-09-04,2016_35
Macroeconomics,100,50.0,2016-09-11,2016_36
Civil Rights,200,50.0,2016-09-11,2016_36
Health,300,50.0,2016-09-11,2016_36
Agriculture,400,50.0,2016-09-11,2016_36
Labor,500,50.0,2016-09-11,2016_36
Education,600,50.0,2016-09-11,2016_36
Environment,700,50.0,2016-09-11,2016_36
Energy,800,50.0,2016-09-11,2016_36
Transportation,1000,50.0,2016-09-11,2016_36
Law and Crime,1200,50.0,2016-09-11,2016_36
Social Welfare,1300,50.0,2016-09-11,2016_36
Housing,1400,50.0,2016-09-11,2016_36
Domestic Commerce,1500,50.0,2016-09-11,2016_36
Defense,1600,50.0,2016-09-11,2016_36
Technology,1700,50.0,2016-09-11,2016_36
International Affairs,1900,50.0,2016-09-11,2016_36
Government Operations,2000,50.0,2016-09-11,2016_36
Public Lands,2100,50.0,2016-09-11,2016_36
Macroeconomics,100,50.0,2016-09-18,2016_37
Civil Rights,200,50.0,2016-09-18,2016_37
Health,300,50.0,2016-09-18,2016_37
Agriculture,400,50.0,2016-09-18,2016_37
Labor,500,50.0,2016-09-18,2016_37
Education,600,50.0,2016-09-18,2016_37
Environment,700,50.0,2016-09-18,2016_37
Energy,800,50.0,2016-09-18,2016_37
Transportation,1000,50.0,2016-09-18,2016_37
Law and Crime,1200,50.0,2016-09-18,2016_37
Social Welfare,1300,50.0,2016-09-18,2016_37
Housing,1400,50.0,2016-09-18,2016_37
Domestic Commerce,1500,50.0,2016-09-18,2016_37
Defense,1600,50.0,2016-09-18,2016_37
Technology,1700,50.0,2016-09-18,2016_37
International Affairs,1900,50.0,2016-09-18,2016_37
Government Operations,2000,50.0,2016-09-18,2016_37
Public Lands,2100,50.0,2016-09-18,2016_37
Macroeconomics,100,50.0,2016-09-25,2016_38
Civil Rights,200,50.0,2016-09-25,2016_38
Health,300,50.0,2016-09-25,2016_38
Agriculture,400,50.0,2016-09-25,2016_38
Labor,500,50.0,2016-09-25,2016_38
Education,600,50.0,2016-09-25,2016_38
Environment,700,50.0,2016-09-25,2016_38
Energy,800,50.0,2016-09-25,2016_38
Transportation,1000,50.0,2016-09-25,2016_38
Law and Crime,1200,50.0,2016-09-25,2016_38
Social Welfare,1300,50.0,2016-09-25,2016_38
Housing,1400,50.0,2016-09-25,2016_38
Domestic Commerce,1500,50.0,2016-09-25,2016_38
Defense,1600,50.0,2016-09-25,2016_38
Technology,1700,50.0,2016-09-25,2016_38
International Affairs,1900,50.0,2016-09-25,2016_38
Government Operations,2000,50.0,2016-09-25,2016_38
Public Lands,2100,50.0,2016-09-25,2016_38
Macroeconomics,100,50.0,2016-10-02,2016_39
Civil Rights,200,50.0,2016-10-02,2016_39
Health,300,50.0,2016-10-02,2016_39
Agriculture,400,50.0,2016-10-02,2016_39
Labor,500,50.0,2016-10-02,2016_39
Education,600,50.0,2016-10-02,2016_39
Environment,700,50.0,2016-10-02,2016_39
Energy,800,50.0,2016-10-02,2016_39
Transportation,1000,50.0,2016-10-02,2016_39
Law and Crime,1200,50.0,2016-10-02,2016_39
Social Welfare,1300,50.0,2016-10-02,2016_39
Housing,1400,50.0,2016-10-02,2016_39
Domestic Commerce,1500,50.0,2016-10-02,2016_39
Defense,1600,50.0,2016-10-02,2016_39
Technology,1700,50.0,2016-10-02,2016_39
International Affairs,1900,50.0,2016-10-02,2016_39
Government Operations,2000,50.0,2016-10-02,2016_39
Public Lands,2100,50.0,2016-10-02,2016_39
Macroeconomics,100,50.0,2016-10-09,2016_40
Civil Rights,200,50.0,2016-10-09,2016_40
Health,300,50.0,2016-10-09,2016_40
Agriculture,400,50.0,2016-10-09,2016_40
Labor,500,50.0,2016-10-09,2016_40
Education,600,50.0,2016-10-09,2016_40
Environment,700,50.0,2016-10-09,2016_40
Energy,800,50.0,2016-10-09,2016_40
Transportation,1000,50.0,2016-10-09,2016_40
Law and Crime,1200,50.0,2016-10-09,2016_40
Social Welfare,1300,50.0,2016-10-09,2016_40
Housing,1400,50.0,2016-10-09,2016_40
Domestic Commerce,1500,50.0,2016-10-09,2016_40
Defense,1600,50.0,2016-10-09,2016_40
Technology,1700,50.0,2016-10-09,2016_40
International Affairs,1900,50.0,2016-10-09,2016_40
Government Operations,2000,50.0,2016-10-09,2016_40
Public Lands,2100,50.0,2016-10-09,2016_40
Macroeconomics,100,50.0,2016-10-16,2016_41
Civil Rights,200,50.0,2016-10-16,2016_41
Health,300,50.0,2016-10-16,2016_41
Agriculture,400,50.0,2016-10-16,2016_41
Labor,500,50.0,2016-10-16,2016_41
Education,600,50.0,2016-10-16,2016_41
Environment,700,50.0,2016-10-16,2016_41
Energy,800,50.0,2016-10-16,2016_41
Transportation,1000,50.0,2016-10-16,2016_41
Law and Crime,1200,50.0,2016-10-16,2016_41
Social Welfare,1300,50.0,2016-10-16,2016_41
Housing,1400,50.0,2016-10-16,2016_41
Domestic Commerce,1500,50.0,2016-10-16,2016_41
Defense,1600,50.0,2016-10-16,2016_41
Technology,1700,50.0,2016-10-16,2016_41
International Affairs,1900,50.0,2016-10-16,2016_41
Government Operations,2000,50.0,2016-10-16,2016_41
Public Lands,2100,50.0,2016-10-16,2016_41
Macroeconomics,100,50.0,2016-10-23,2016_42
Civil Rights,200,50.0,2016-10-23,2016_42
Health,300,50.0,2016-10-23,2016_42
Agriculture,400,50.0,2016-10-23,2016_42
Labor,500,50.0,2016-10-23,2016_42
Education,600,50.0,2016-10-23,2016_42
Environment,700,50.0,2016-10-23,2016_42
Energy,800,50.0,2016-10-23,2016_42
Transportation,1000,50.0,2016-10-23,2016_42
Law and Crime,1200,50.0,2016-10-23,2016_42
Social Welfare,1300,50.0,2016-10-23,2016_42
Housing,1400,50.0,2016-10-23,2016_42
Domestic Commerce,1500,50.0,2016-10-23,2016_42
Defense,1600,50.0,2016-10-23,2016_42
Technology,1700,50.0,2016-10-23,2016_42
International Affairs,1900,50.0,2016-10-23,2016_42
Government Operations,2000,50.0,2016-10-23,2016_42
Public Lands,2100,50.0,2016-10-23,2016_42
Macroeconomics,100,50.0,2016-10-30,2016_43
Civil Rights,200,50.0,2016-10-30,2016_43
Health,300,50.0,2016-10-30,2016_43
Agriculture,400,50.0,2016-10-30,2016_43
Labor,500,50.0,2016-10-30,2016_43
Education,600,50.0,2016-10-30,2016_43
Environment,700,50.0,2016-10-30,2016_43
Energy,800,50.0,2016-10-30,2016_43
Transportation,1000,50.0,2016-10-30,2016_43
Law and Crime,1200,50.0,2016-10-30,2016_43
Social Welfare,1300,50.0,2016-10-30,2016_43
Housing,1400,50.0,2016-10-30,2016_43
Domestic Commerce,1500,50.0,2016-10-30,2016_43
Defense,1600,50.0,2016-10-30,2016_43
Technology,1700,50.0,2016-10-30,2016_43
International Affairs,1900,50.0,2016-10-30,2016_43
Government Operations,2000,50.0,2016-10-30,2016_43
Public Lands,2100,50.0,2016-10-30,2016_43
Macroeconomics,100,50.0,2016-11-06,2016_44
Civil Rights,200,50.0,2016-11-06,2016_44
Health,300,50.0,2016-11-06,2016_44
Agriculture,400,50.0,2016-11-06,2016_44
Labor,500,50.0,2016-11-06,2016_44
Education,600,50.0,2016-11-06,2016_44
Environment,700,50.0,2016-11-06,2016_44
Energy,800,50.0,2016-11-06,2016_44
Transportation,1000,50.0,2016-11-06,2016_44
Law and Crime,1200,50.0,2016-11-06,2016_44
Social Welfare,1300,50.0,2016-11-06,2016_44
Housing,1400,50.0,2016-11-06,2016_44
Domestic Commerce,1500,50.0,2016-11-06,2016_44
Defense,1600,50.0,2016-11-06,2016_44
Technology,1700,50.0,2016-11-06,2016_44
International Affairs,1900,50.0,2016-11-06,2016_44
Government Operations,2000,50.0,2016-11-06,2016_44
Public Lands,2100,50.0,2016-11-06,2016_44
Macroeconomics,100,50.0,2016-11-13,2016_45
Civil Rights,200,50.0,2016-11-13,2016_45
Health,300,50.0,2016-11-13,2016_45
