interest_group,org_id,original_name,original_name_2,similarity_score,current_name,current_name_2,acronym,acronym_2,active,name_match,helper_1,helper_2,helper_3
American Corn Growers Association,3951,American Corn Growers Association,American Corn Growers Association,100,American Corn Growers Association,American Corn Growers Association,ACGA,,True,True,False,False,True
American Dehydrated Onion and Garlic Association,3955,American Dehydrated Onion and Garlic Association,American Dehydrated Onion and Garlic Association,63,Garlic powder,American Dehydrated Onion and Garlic Association,,,True,False,False,True,False
American Dental Hygienists Association,3956,American Dental Hygienists Association,American Dental Hygienists Association,59,Dental hygienist,American Dental Hygienists Association,,,True,False,False,True,False
American Film Institute,3966,American Film Institute,American Film Institute,100,American Film Institute,American Film Institute,AFI,,True,True,False,False,True
American Fly Fishing Trade Association,3972,American Fly Fishing Trade Association,American Fly Fishing Trade Association,55,Recreational fishing,American Fly Fishing Trade Association,,,True,False,False,True,False
American Foundrymen's Society,3974,American Foundrymen's Society,American Foundrymen's Society,39,Foundry,American Foundrymen's Society,,,True,False,False,True,False
American Friends of the Czech Republic,3977,American Friends of the Czech Republic,American Friends of the Czech Republic,29,Fred Malek,American Friends of the Czech Republic,,,True,False,False,True,False
American Herbal Products Association,3987,American Herbal Products Association,American Herbal Products Association,100,American Herbal Products Association,American Herbal Products Association,AHPA,,True,True,False,False,True
American Honey Producers Association,3990,American Honey Producers Association,American Honey Producers Association,85,American Honey (film),American Honey Producers Association,,,True,False,False,True,False
"American Land Conservancy, The",4000,"American Land Conservancy, The",American Land Conservancy,100,American Land Conservancy,American Land Conservancy,,,True,False,True,True,False
American Liver Foundation,4002,American Liver Foundation,American Liver Foundation,100,American Liver Foundation,American Liver Foundation,ALF,ALF,True,True,False,False,False
American Medical Technologists,4012,American Medical Technologists,American Medical Technologists,59,Medical laboratory scientist,American Medical Technologists,AMT,AMT,True,False,False,True,False
American Museum of Natural History,4016,American Museum of Natural History,American Museum of Natural History,100,American Museum of Natural History,American Museum of Natural History,,AMNH,True,True,False,False,True
American Mushroom Institute,4017,American Mushroom Institute,American Mushroom Institute,100,American Mushroom Institute,American Mushroom Institute,,,True,True,False,False,False
American Names Association,4019,American Names Association,American Names Association,87,American Basketball Association,American Names Association,,,True,False,False,True,False
American Nuclear Society,4023,American Nuclear Society,American Nuclear Society,100,American Nuclear Society,American Nuclear Society,ANS,ANS,True,True,False,False,False
American Peanut Product Manufacturers Inc.,4025,American Peanut Product Manufacturers Inc.,American Peanut Product Manufacturers,57,Peanut Corporation of America,American Peanut Product Manufacturers,,APPMI,True,False,True,True,True
American Psychiatric Nurses Association,4027,American Psychiatric Nurses Association,American Psychiatric Nurses Association,100,American Psychiatric Nurses Association,American Psychiatric Nurses Association,APNA,APNA,True,True,False,False,False
American Psychosomatic Society,4029,American Psychosomatic Society,American Psychosomatic Society,77,Psychosomatic medicine,American Psychosomatic Society,,,True,False,False,True,False
American Radio Relay League,4031,American Radio Relay League,American Radio Relay League,100,American Radio Relay League,American Radio Relay League,ARRL,ARRL,True,True,False,False,False
American Railway Car Institute,4032,American Railway Car Institute,American Railway Car Institute,26,Funicular,American Railway Car Institute,,,True,False,False,True,False
American Registry of Pathology,4037,American Registry of Pathology,American Registry of Pathology,68,Armed Forces Institute of Pathology,American Registry of Pathology,NNMC,,True,False,False,True,True
American Rental Association,4039,American Rental Association,American Rental Association,100,American Rental Association,American Rental Association,ARA,,True,True,False,False,True
American Salvage Pool Association,4040,American Salvage Pool Association,American Salvage Pool Association,62,Moon pool,American Salvage Pool Association,,,True,False,False,True,False
"American Samoa, Government of",4041,"American Samoa, Government of",,100,Government of American Samoa,,,,True,False,True,True,False
American Society for Bone and Mineral Research,4049,American Society for Bone and Mineral Research,American Society for Bone and Mineral Research,100,American Society for Bone and Mineral Research,American Society for Bone and Mineral Research,ASBMR,ASBMR,True,True,False,False,False
American Society for Gastrointestinal Endoscopy,4052,American Society for Gastrointestinal Endoscopy,American Society for Gastrointestinal Endoscopy,100,American Society for Gastrointestinal Endoscopy,American Society for Gastrointestinal Endoscopy,ASGE,ASGE,True,True,False,False,False
American Society for Photogrammetry and Remote Sensing,4053,American Society for Photogrammetry and Remote Sensing,American Society for Photogrammetry and Remote Sensing,100,American Society for Photogrammetry and Remote Sensing,American Society for Photogrammetry and Remote Sensing,ASPRS,ASPRS,True,True,False,False,False
American Society for Quality,4054,American Society for Quality,American Society for Quality,100,American Society for Quality,American Society for Quality,ASQ,ASQ,True,True,False,False,False
"American Society of Composers, Authors, and Publishers",4060,"American Society of Composers, Authors, and Publishers","American Society of Composers, Authors, and Publishers",100,"American Society of Composers, Authors and Publishers","American Society of Composers, Authors and Publishers",ASCAP,ASCAP,True,False,False,False,False
American Society of Farm Managers and Rural Appraisers,4062,American Society of Farm Managers and Rural Appraisers,American Society of Farm Managers and Rural Appraisers,40,Real estate appraisal,American Society of Farm Managers and Rural Appraisers,ASFMRA,ASFMRA,True,False,False,True,False
American Society of Home Inspectors (ASHI),4064,American Society of Home Inspectors (ASHI),American Society of Home Inspectors,47,Home inspection,American Society of Home Inspectors,NAHI,ASHI,True,False,True,True,True
American Society of Nephrology,4066,American Society of Nephrology,American Society of Nephrology,100,American Society of Nephrology,American Society of Nephrology,ASN,ASN,True,True,False,False,False
American Society of Pediatric Nephrology,4068,American Society of Pediatric Nephrology,American Society of Pediatric Nephrology,67,International Pediatric Nephrology Association,American Society of Pediatric Nephrology,IPNA,,True,False,False,True,True
American Society of Plastic and Reconstructive Surgeons,4069,American Society of Plastic and Reconstructive Surgeons,American Society of Plastic and Reconstructive Surgeons,100,American Society of Plastic Surgeons,American Society of Plastic Surgeons,,,True,False,False,False,False
American Society of Radiologic Technologists,4070,American Society of Radiologic Technologists,American Society of Radiologic Technologists,100,American Society of Radiologic Technologists,American Society of Radiologic Technologists,ASRT,ASRT,True,True,False,False,False
American Society of Safety Engineers,4071,American Society of Safety Engineers,American Society of Safety Engineers,84,American Society of Safety Professionals,American Society of Safety Professionals,ASSE,ASSE,True,False,False,False,False
American Society of Tropical Medicine and Hygiene,4072,American Society of Tropical Medicine and Hygiene,American Society of Tropical Medicine and Hygiene,100,American Society of Tropical Medicine and Hygiene,American Society of Tropical Medicine and Hygiene,ASTMH,ASTMH,True,True,False,False,False
American Society of Women Accountants (ACC),4073,American Society of Women Accountants (ACC),American Society of Women Accountants,38,List of post-nominal letters (United Kingdom),American Society of Women Accountants,,ASWA,True,False,True,True,True
American Soybean Association,4074,American Soybean Association,American Soybean Association,100,American Soybean Association,American Soybean Association,ASA,ASA,True,True,False,False,False
American Spice and Trade Association,4075,American Spice and Trade Association,American Spice and Trade Association,100,American Spice Trade Association,American Spice Trade Association,,,True,False,False,False,False
American Supply and Machinery Manufacturers Association,4078,American Supply and Machinery Manufacturers Association,American Supply and Machinery Manufacturers Association,70,Packaging Machinery Manufacturers Institute,American Supply and Machinery Manufacturers Association,,ASMMA,True,False,False,True,True
American Supply Association,4079,American Supply Association,American Supply Association,80,Association for Supply Chain Management,American Supply Association,,,True,False,False,True,False
American Telemedicine Association,4082,American Telemedicine Association,American Telemedicine Association,100,American Telemedicine Association,American Telemedicine Association,ATA,ATA,True,True,False,False,False
American Urological Association,4092,American Urological Association,American Urological Association,100,American Urological Association,American Urological Association,AUA,AUA,True,True,False,False,False
American-Uzbekistan Chamber of Commerce,4097,American-Uzbekistan Chamber of Commerce,American-Uzbekistan Chamber of Commerce,100,Uzbekistan,American-Uzbekistan Chamber of Commerce,,AUCC,True,False,False,True,True
Americans for Common Cents,4102,Americans for Common Cents,Americans for Common Cents,100,Americans for Common Cents,Americans for Common Cents,,,True,True,False,False,False
Americans for Responsible Recreational Areas,4113,Americans for Responsible Recreational Areas,Americans for Responsible Recreational Areas,73,Recreational drug use,Americans for Responsible Recreational Areas,,ARRA,True,False,False,True,True
Amputee Coalition,4125,Amputee Coalition,Amputee Coalition,100,Amputee Coalition of America,Amputee Coalition of America,,,True,True,False,False,False
Amusement and Music Operators Association,4130,Amusement and Music Operators Association,Amusement and Music Operators Association,26,Roger Sharpe (pinball),Amusement and Music Operators Association,MPI,AMOA,True,False,False,True,True
Apple Processors Association,4179,Apple Processors Association,Apple Processors Association,77,Apple M1,Apple Processors Association,,,True,False,False,True,False
Aquarium of the Pacific,4194,Aquarium of the Pacific,Aquarium of the Pacific,100,Aquarium of the Pacific,Aquarium of the Pacific,AZA,,True,True,False,False,True
Arctic Slope Regional Corp.,4212,Arctic Slope Regional Corp.,Arctic Slope Regional Corp.,47,Alaska Native corporation,Arctic Slope Regional Corporation,,ASRC,True,False,False,True,True
Arena Stage,4213,Arena Stage,Arena Stage,100,Arena Stage,Arena Stage,,,True,True,False,False,False
Arthritis Foundation,4239,Arthritis Foundation,Arthritis Foundation,100,Arthritis Foundation,Arthritis Foundation,AIR,,True,True,False,False,True
ASFE,4254,ASFE,,35,Senate (France),,,,True,False,True,True,False
Asphalt Recycling and Reclaiming Association,4267,Asphalt Recycling and Reclaiming Association,Asphalt Recycling and Reclaiming Association,27,Pavement milling,Asphalt Recycling and Reclaiming Association,,ARRA,True,False,False,True,True
Association for Commuter Transportation,4270,Association for Commuter Transportation,Association for Commuter Transportation,61,Transportation demand management,Association for Commuter Transportation,,,True,False,False,True,False
Association for Enterprise Opportunity,4272,Association for Enterprise Opportunity,Association for Enterprise Opportunity,57,American Enterprise Institute,Association for Enterprise Opportunity,,AEO,True,False,False,True,True
Association for Governmental Leasing and Finance,4273,Association for Governmental Leasing and Finance,Association for Governmental Leasing and Finance,100,Finance and Leasing Association,Association for Governmental Leasing and Finance,,AGLF,True,False,False,True,True
Association for Hospital Medical Education,4274,Association for Hospital Medical Education,Association for Hospital Medical Education,71,Accreditation Council for Continuing Medical Education,Association for Hospital Medical Education,AHME,AHME,True,False,False,True,False
Association for Los Angeles Deputy Sheriffs,4275,Association for Los Angeles Deputy Sheriffs,Association for Los Angeles Deputy Sheriffs,100,Association for Los Angeles Deputy Sheriffs,Association for Los Angeles Deputy Sheriffs,ALADS,ALADS,True,True,False,False,False
Association of Academic Health Sciences Library Directors,4279,Association of Academic Health Sciences Library Directors,Association of Academic Health Sciences Library Directors,83,Medical Library Association,Association of Academic Health Sciences Library Directors,,,True,False,False,True,False
Association of Air Medical Services,4281,Association of Air Medical Services,Association of Air Medical Services,100,Air medical services,Association of Air Medical Services,,AAMS,True,False,False,True,True
Association of Chiropractic Colleges,4292,Association of Chiropractic Colleges,Association of Chiropractic Colleges,100,Association of Chiropractic Colleges,Association of Chiropractic Colleges,ACC,ACC,True,True,False,False,False
Association of Christian Therapists,4294,Association of Christian Therapists,Association of Christian Therapists,24,Massage,Association of Christian Therapists,,,True,False,False,True,False
Association of Clinical Research Professionals,4295,Association of Clinical Research Professionals,Association of Clinical Research Professionals,77,Clinical research associate,Association of Clinical Research Professionals,ACRP,ACRP,True,False,False,True,False
"Association of Food Industries, Inc.",4300,"Association of Food Industries, Inc.",Association of Food Industries,100,"Food, Inc.",Association of Food Industries,,AFI,True,False,True,True,True
Association of Freestanding Radiation Oncology Centers,4301,Association of Freestanding Radiation Oncology Centers,Association of Freestanding Radiation Oncology Centers,29,Proton therapy,Association of Freestanding Radiation Oncology Centers,,,True,False,False,True,False
Association of Independent Research Institutes,4306,Association of Independent Research Institutes,Association of Independent Research Institutes,62,Research institute,Association of Independent Research Institutes,,AIRI,True,False,False,True,True
"Association of Legal Administrators, Capital Chapter",4308,"Association of Legal Administrators, Capital Chapter","Association of Legal Administrators, Capital Chapter",48,List of legal entity types by country,Association of Legal Administrators,,ALA,True,False,False,True,True
Association of Medical Device Reprocessors,4311,Association of Medical Device Reprocessors,Association of Medical Device Reprocessors,62,Single use medical device reprocessing,Association of Medical Device Reprocessors,,AMDR,True,False,False,True,True
Association of Minnesota Counties,4312,Association of Minnesota Counties,Association of Minnesota Counties,84,List of counties in Minnesota,Association of Minnesota Counties,,AMC,True,False,False,True,True
Association of Minority Health Professions Schools,4313,Association of Minority Health Professions Schools,Association of Minority Health Professions Schools,25,Heckler Report,Association of Minority Health Professions Schools,CDC,AMHPS,True,False,False,True,True
Association of Pediatric Program Directors,4319,Association of Pediatric Program Directors,Association of Pediatric Program Directors,44,Practice-based research network,Association of Pediatric Program Directors,,APPD,True,False,False,True,True
Association of Professional Flight Attendants,4321,Association of Professional Flight Attendants,Association of Professional Flight Attendants,100,Association of Professional Flight Attendants,Association of Professional Flight Attendants,APFA,APFA,True,True,False,False,False
Association of Progressive Rental Organizations,4322,Association of Progressive Rental Organizations,Association of Progressive Rental Organizations,28,Rent-to-own,Association of Progressive Rental Organizations,APRO,APRO,True,False,False,True,False
Association of Surgical Technologists,4327,Association of Surgical Technologists,Association of Surgical Technologists,72,Surgical technologist,Association of Surgical Technologists,AST,AST,True,False,False,True,False
Association of Telemessaging Services International,4330,Association of Telemessaging Services International,Association of Telemessaging Services International,36,Electrical telegraphy in the United Kingdom,Association of Telemessaging Services International,,ATSI,True,False,False,True,True
"Association of Universities for Research in Astronomy, Inc.",4332,"Association of Universities for Research in Astronomy, Inc.",Association of Universities for Research in Astronomy,45,Federally funded research and development centers,Association of Universities for Research in Astronomy,,AURA,True,False,True,True,True
Association of Veterinary Biologics Cos.,4333,Association of Veterinary Biologics Cos.,Association of Veterinary Biologics Cos.,36,Food and Drug Administration,Association of Veterinary Biologics Companies,,AVBC,True,False,False,True,True
Assiniboine and Sioux Tribes (Fort Peck Reservation),4338,Assiniboine and Sioux Tribes (Fort Peck Reservation),,86,Fort Peck Indian Reservation,,,,True,False,True,True,False
Associated Universities Inc.,4343,Associated Universities Inc.,Associated Universities Inc.,100,"Associated Universities, Inc.","Associated Universities, Inc.",,AUI,True,False,False,False,True
Atlantic States Marine Fisheries Commission,4367,Atlantic States Marine Fisheries Commission,Atlantic States Marine Fisheries Commission,100,Atlantic States Marine Fisheries Commission,Atlantic States Marine Fisheries Commission,ASMFC,ASMFC,True,True,False,False,False
"Audubon Institute, The",4378,"Audubon Institute, The",Audubon Institute,89,Audubon Nature Institute,Audubon Institute,,,True,False,True,True,False
Aunt Martha's Youth Service Center,4382,Aunt Martha's Youth Service Center,Aunt Martha's Youth Service Center,48,The Handmaid's Tale (TV series),Aunt Martha's Youth Service Center,,,True,False,False,True,False
Barona Band of Mission Indians,4475,Barona Band of Mission Indians,Barona Band of Mission Indians,100,Barona Group of Capitan Grande Band of Mission Indians,Barona Band of Mission Indians,,,True,False,False,True,False
Bay Mills Indian Community,4500,Bay Mills Indian Community,Bay Mills Indian Community,100,Bay Mills Indian Community,Bay Mills Indian Community,BMIC,BMIC,True,True,False,False,False
Bethel New Life,4568,Bethel New Life,Bethel New Life,57,Bethel University (Minnesota),Bethel New Life,,,True,False,False,True,False
Bi-State Development Agency,4577,Bi-State Development Agency,Bi-State Development Agency,41,Metro Transit (St. Louis),Bi-State Development Agency,STL,BSDA,True,False,False,True,True
Big Brothers/Big Sisters of America,4584,Big Brothers/Big Sisters of America,Big Brothers/Big Sisters of America,100,Big Brothers Big Sisters of America,Big Brothers Big Sisters of America,,BBBSA,True,False,False,False,True
Black Hills Forest Resource Association,4618,Black Hills Forest Resource Association,Black Hills Forest Resource Association,56,Hanging Hills,Black Hills Forest Resource Association,,BHRA,True,False,False,True,True
Blue Diamond Growers,4635,Blue Diamond Growers,Blue Diamond Growers,100,Blue Diamond Growers,Blue Diamond Growers,NLRB,,True,True,False,False,True
Blue Water Fishermen's Association,4637,Blue Water Fishermen's Association,Blue Water Fishermen's Association,48,Atlantic blue marlin,Blue Water Fishermen's Association,,BWFA,True,False,False,True,True
Boy Scouts of America,4686,Boy Scouts of America,Boy Scouts of America,100,Boy Scouts of America,Boy Scouts of America,,BSA,True,True,False,False,True
"Boys and Girls Club of Brownsville, Inc.",4687,"Boys and Girls Club of Brownsville, Inc.",Boys and Girls Club of Brownsville,71,"Brownsville, Brooklyn",Boys and Girls Club of Brownsville,,,True,False,True,True,False
Boys Town USA,4690,Boys Town USA,Boys Town USA,82,Boys Town (organization),Boys Town USA,,,True,False,False,True,False
Boysville,4691,Boysville,Boysville,9,Erma Franklin,Boysville,,,True,False,False,True,False
Broadcast Music Inc. (BMI),4734,Broadcast Music Inc. (BMI),Broadcast Music Inc.,100,"Broadcast Music, Inc.",Broadcast Music Inc.,,BMI,True,False,True,True,True
Build Indiana Council,4765,Build Indiana Council,Build Indiana Council,70,Scouting in Indiana,Build Indiana Council,,BIC,True,False,False,True,True
CalCot,4811,CalCot,CalCot,91,CalÃ§ot,CalCot,,,True,False,False,True,False
California Asparagus Commission,4816,California Asparagus Commission,California Asparagus Commission,69,"Stockton, California",California Asparagus Commission,,CAC,True,False,False,True,True
California Association of Marriage and Family Therapists,4818,California Association of Marriage and Family Therapists,California Association of Marriage and Family Therapists,100,California Association of Marriage and Family Therapists,California Association of Marriage and Family Therapists,CAMFT,CAMFT,True,True,False,False,False
California Association of Sanitation Agencies,4819,California Association of Sanitation Agencies,California Association of Sanitation Agencies,23,The Devil We Know,California Association of Sanitation Agencies,,CASA,True,False,False,True,True
California Association of Winegrape Growers,4820,California Association of Winegrape Growers,California Association of Winegrape Growers,100,California Association of Winegrape Growers,California Association of Winegrape Growers,CAWG,CAWG,True,True,False,False,False
California Canning Peach Association,4824,California Canning Peach Association,California Canning Peach Association,57,Agriculture in California,California Canning Peach Association,CCPA,CCPA,True,False,False,True,False
California Cling Peach Growers Advisory Board,4827,California Cling Peach Growers Advisory Board,California Cling Peach Growers Advisory Board,57,Agriculture in California,California Cling Peach Growers Advisory Board,,CCPGAB,True,False,False,True,True
California Health Care Foundation,4833,California Health Care Foundation,California Health Care Foundation,100,California Health Care Foundation,California Health Care Foundation,CHCF,CHCF,True,True,False,False,False
California Independent Petroleum Association,4835,California Independent Petroleum Association,California Independent Petroleum Association,35,Oil and gas law in the United States,California Independent Petroleum Association,,CIPA,True,False,False,True,True
California Poultry Industry Federation,4842,California Poultry Industry Federation,California Poultry Industry Federation,64,Poultry farming,California Poultry Industry Federation,,CPIF,True,False,False,True,True
California Primary Care Association,4843,California Primary Care Association,California Primary Care Association,77,Direct primary care,California Primary Care Association,,CPCA,True,False,False,True,True
California Prune Board,4844,California Prune Board,California Prune Board,45,Renegade Animation,California Prune Board,,CPB,True,False,False,True,True
California School Employees Association,4849,California School Employees Association,California School Employees Association,100,California School Employees Association,California School Employees Association,CSEA,CSEA,True,True,False,False,False
California State Association of Counties,4851,California State Association of Counties,California State Association of Counties,85,List of counties in California,California State Association of Counties,,CSAC,True,False,False,True,True
California Strawberry Commission,4862,California Strawberry Commission,California Strawberry Commission,100,California Strawberry Commission,California Strawberry Commission,CSC,CSC,True,True,False,False,False
California Walnut Commission,4867,California Walnut Commission,California Walnut Commission,100,"Walnut, California",California Walnut Commission,,CWC,True,False,False,True,True
CALSTART,4877,CALSTART,,22,Ideanomics,,FARMER,,True,False,True,True,True
Campaign for Common Ground,4891,Campaign for Common Ground,Campaign for Common Ground,83,Search for Common Ground,Campaign for Common Ground,,CCG,True,False,False,True,True
Campaign Reform Project,4893,Campaign Reform Project,Campaign Reform Project,52,Donald Trump 2000 presidential campaign,Campaign Reform Project,,CRP,True,False,False,True,True
Cancer Leadership Council,4918,Cancer Leadership Council,Cancer Leadership Council,84,Leadership Council of Afghanistan,Cancer Leadership Council,,CLC,True,False,False,True,True
Cardiovascular Credentialing International,4949,Cardiovascular Credentialing International,Cardiovascular Credentialing International,68,Cardiovascular technologist,Cardiovascular Credentialing International,,CCI,True,False,False,True,True
Carnegie Hall Corp.,4964,Carnegie Hall Corp.,,86,Carnegie Hall Tower,,,CHC,True,False,True,True,True
Carpet and Rug Institute,4972,Carpet and Rug Institute,Carpet and Rug Institute,100,Carpet,Carpet and Rug Institute,,CRI,True,False,False,True,True
Casey Family Program,4984,Casey Family Program,Casey Family Program,98,Casey Family Programs,Casey Family Programs,CFP,CFP,True,True,False,False,False
Catholic Healthcare West,4996,Catholic Healthcare West,,42,Dignity Health,,,CHW,True,False,True,True,True
Cattlemen's Beef Promotion and Research Board,4998,Cattlemen's Beef Promotion and Research Board,Cattlemen's Beef Promotion and Research Board,37,Flat iron steak,Cattlemen's Beef Promotion and Research Board,,CBB,True,False,False,True,True
Center for Civic Education,5028,Center for Civic Education,Center for Civic Education,73,Civic education in the United States,Center for Civic Education,CIRCLE,CCE,True,False,False,True,True
Center for Employment Training,5032,Center for Employment Training,Center for Employment Training,78,Employment and Training Administration,Center for Employment Training,,CET,True,False,False,True,True
Center for Regulatory Effectiveness,5035,Center for Regulatory Effectiveness,Center for Regulatory Effectiveness,100,Center for Regulatory Effectiveness,Center for Regulatory Effectiveness,CRE,CRE,True,True,False,False,False
Center Point Inc.,5040,Center Point Inc.,Center Point Inc.,65,CenterPoint Energy,Center Point Inc.,,CPI,True,False,False,True,True
Central Council of Tingit and Haida Indian Tribes of Alaska,5052,Central Council of Tingit and Haida Indian Tribes of Alaska,Central Council of Tingit and Haida Indian Tribes of Alaska,22,Tlingit,Central Council of Tingit and Haida Indian Tribes of Alaska,,CCTHITA,True,False,False,True,True
"Central Montana Electric Power Cooperative, Inc.",5058,"Central Montana Electric Power Cooperative, Inc.",Central Montana Electric Power Cooperative,90,Basin Electric Power Cooperative,Central Montana Electric Power Cooperative,,CMEPC,True,False,True,True,True
"Central Virginia Electric Cooperative, Inc.",5068,"Central Virginia Electric Cooperative, Inc.",Central Virginia Electric Cooperative,49,List of United States electric companies,Central Virginia Electric Cooperative,,CVEC,True,False,True,True,True
"Century Council, The",5074,"Century Council, The",Century Council,74,21st century,Foundation for Advancing Alcohol Responsibility,,,True,False,True,True,False
Certified Angus Beef,5083,Certified Angus Beef,,59,Aberdeen Angus,,,,True,False,True,True,False
Certified Automotive Parts Association,5084,Certified Automotive Parts Association,Certified Automotive Parts Association,100,Certified Automotive Parts Association,Certified Automotive Parts Association,CAPA,CAPA,True,True,False,False,False
Chabot Space & Science Center,5088,Chabot Space & Science Center,Chabot Space & Science Center,100,Chabot Space and Science Center,Chabot Space and Science Center,,CSSC,True,False,False,False,True
Cheese Importers Association of America,5116,Cheese Importers Association of America,Cheese Importers Association of America,60,Schuman Cheese,Cheese Importers Association of America,,CIAA,True,False,False,True,True
"Chehalis Reservation, Confederated Tribes of the",5118,"Chehalis Reservation, Confederated Tribes of the","Chehalis Reservation, Confederated Tribes of the",100,Confederated Tribes of the Chehalis Reservation,Confederated Tribes of the Chehalis Reservation,,CTCHR,True,False,False,False,True
Chesapeake Bay Foundation,5127,Chesapeake Bay Foundation,Chesapeake Bay Foundation,100,Chesapeake Bay Foundation,Chesapeake Bay Foundation,CBF,CBF,True,True,False,False,False
Chevron Petroleum Marketers Association,5131,Chevron Petroleum Marketers Association,Chevron Petroleum Marketers Association,18,Texaco,Chevron Petroleum Marketers Association,,CPMA,True,False,False,True,True
Cheyenne and Arapahoe Tribes of Oklahoma,5133,Cheyenne and Arapahoe Tribes of Oklahoma,Cheyenne and Arapahoe Tribes of Oklahoma,30,Arapaho,Cheyenne and Arapahoe Tribes of Oklahoma,,,True,False,False,True,False
Chicago Botanic Garden,5138,Chicago Botanic Garden,,100,Chicago Botanic Garden,,APGA,,True,True,True,True,True
Children and Adults with Attention Deficit Disorders (CHADD),5156,Children and Adults with Attention Deficit Disorders (CHADD),Children and Adults with Attention Deficit Disorders,67,Adult attention deficit hyperactivity disorder,Children and Adults with Attention Deficit Disorders,,CHADD,True,False,True,True,True
"Choctaw Indians, Mississippi Band of",5185,"Choctaw Indians, Mississippi Band of","Choctaw Indians, Mississippi Band of",100,Mississippi Band of Choctaw Indians,Mississippi Band of Choctaw Indians,,MBCI,True,False,False,False,True
Choctaw Nation of Oklahoma,5186,Choctaw Nation of Oklahoma,Choctaw Nation of Oklahoma,100,Choctaw Nation of Oklahoma,Choctaw Nation of Oklahoma,,CNO,True,True,False,False,True
"Choral Art Society Of Washington, The",5188,"Choral Art Society Of Washington, The","Choral Art Society Of Washington, The",93,Choral Arts Society of Washington,"Choral Art Society Of Washington, The",,CASW,True,False,False,True,True
Chronic Fatigue and Immune Dysfunction Syndrome Association of America,5197,Chronic Fatigue and Immune Dysfunction Syndrome Association of America,Chronic Fatigue and Immune Dysfunction Syndrome Association of America,100,Chronic fatigue syndrome,Chronic Fatigue and Immune Dysfunction Syndrome Association of America,,CFIDSAA,True,False,False,True,True
Chugach Alaska Corp.,5199,Chugach Alaska Corp.,,85,Chugach Alaska Corporation,,,,True,False,True,True,False
Church Alliance,5200,Church Alliance,Church Alliance,70,Alliance of Reformed Churches,Church Alliance,,,True,False,False,True,False
Citizen's Educational Foundation,5215,Citizen's Educational Foundation,Citizen's Educational Foundation,73,The Citizens Foundation,Citizen's Educational Foundation,,CEF,True,False,False,True,True
Citizens for Civil Justice Reform,5219,Citizens for Civil Justice Reform,Citizens for Civil Justice Reform,76,Criminal justice reform,Citizens for Civil Justice Reform,,CCJR,True,False,False,True,True
Citizens for Liberty in Cuba (Cuba Libertad),5222,Citizens for Liberty in Cuba (Cuba Libertad),Citizens for Liberty in Cuba (Cuba Libertad),34,Helmsâ€“Burton Act,Citizens for Liberty in Cuba,,CLC,True,False,False,True,True
Civil Air Patrol,5236,Civil Air Patrol,Civil Air Patrol,100,Civil Air Patrol,Civil Air Patrol,CAP,CAP,True,True,False,False,False
"Clayton, Dover, Lewes, Middletown, Milford, Newark, NewCastle, Seaford and Smyr",5253,"Clayton, Dover, Lewes, Middletown, Milford, Newark, NewCastle, Seaford and Smyr",,0,,,,,False,False,True,False,False
Clean Fuels Development Coalition,5259,Clean Fuels Development Coalition,Clean Fuels Development Coalition,67,Clean Cities Coalition Network,Clean Fuels Development Coalition,,CFDC,True,False,False,True,True
Coal Utilization Research Council,5293,Coal Utilization Research Council,Coal Utilization Research Council,54,Central Institute of Mining and Fuel Research,Coal Utilization Research Council,,CURC,True,False,False,True,True
Coalition Against Bigger Trucks,5295,Coalition Against Bigger Trucks,Coalition Against Bigger Trucks,34,2016 in aviation,Coalition Against Bigger Trucks,,CABT,True,False,False,True,True
Coalition for Effective Environmental Information,5309,Coalition for Effective Environmental Information,Coalition for Effective Environmental Information,60,Global Land Coalition,Coalition for Effective Environmental Information,,CEEI,True,False,False,True,True
Coalition for Food Aid,5319,Coalition for Food Aid,Coalition for Food Aid,100,Aid,Coalition for Food Aid,,,True,False,False,True,False
Coalition for GSP,5322,Coalition for GSP,Coalition for GSP,31,Bodoland Territorial Council,Global System of Preferences Coalition,,,True,False,False,True,False
Coalition for Tax Equity,5339,Coalition for Tax Equity,Coalition for Tax Equity,47,Tax Parity for Health Plan Beneficiaries Act,Tax Equity Coalition,,,True,False,False,True,False
Coalition for Uniform Product Liability Law,5343,Coalition for Uniform Product Liability Law,Coalition for Uniform Product Liability Law,40,Law of Japan,Uniform Product Liability Law Coalition,,,True,False,False,True,False
Coalition of Boston Teaching Hospitals,5347,Coalition of Boston Teaching Hospitals,Coalition of Boston Teaching Hospitals,45,Lahey Hospital & Medical Center,Boston Teaching Hospitals Coalition,,,True,False,False,True,False
Coalition of EPSCoR States,5350,Coalition of EPSCoR States,Coalition of EPSCoR States,39,Opt-outs in the European Union,EPSCoR States Coalition,,,True,False,False,True,False
Coalition of Food Importers Associations,5351,Coalition of Food Importers Associations,Coalition of Food Importers Associations,43,Saudi Arabianâ€“led intervention in Yemen,Food Importers Associations Coalition,,,True,False,False,True,False
Coalition of Higher Education Assistance Organizations,5353,Coalition of Higher Education Assistance Organizations,Coalition of Higher Education Assistance Organizations,62,Higher education in the United States,Higher Education Assistance Organizations Coalition,,,True,False,False,True,False
Coalition of New England Companies for Trade,5355,Coalition of New England Companies for Trade,Coalition of New England Companies for Trade,61,New England Biotech Association,New England Companies for Trade Coalition,,,True,False,False,True,False
